,tourney_year,tourney_name,tourney_location,tourney_dates,tourney_conditions,tourney_surface,player_ranking,opponent_name,match_win_loss,match_score
94,2000,Roland Garros,"Paris, France",2000.05.29 - 2000.06.11,Outdoor,Clay,54,Michel Kratochvil,W,76(5) 64 26 67(4) 86
95,2000,Roland Garros,"Paris, France",2000.05.29 - 2000.06.11,Outdoor,Clay,54,Jan-Michael Gambill,W,76(5) 63 63
96,2000,Roland Garros,"Paris, France",2000.05.29 - 2000.06.11,Outdoor,Clay,54,Wayne Arthurs,W,76(4) 63 16 63
97,2000,St. Poelten,"St. Poelten, Austria",2000.05.22 - 2000.05.28,Outdoor,Clay,54,Markus Hantschk,L,26 16
98,2000,ATP Masters Series Hamburg,"Hamburg, Germany",2000.05.15 - 2000.05.21,Outdoor,Clay,50,Andrei Pavel,L,46 36
99,2000,ATP Masters Series Rome,"Rome, Italy",2000.05.08 - 2000.05.14,Outdoor,Clay,51,Andrei Medvedev,L,63 36 57
100,2000,Barcelona,"Barcelona, Spain",2000.04.24 - 2000.04.30,Outdoor,Clay,51,Sergi Bruguera,L,16 16
101,2000,ATP Masters Series Monte Carlo,"Monte Carlo, Monaco",2000.04.17 - 2000.04.23,Outdoor,Clay,49,Jiri Novak,L,16 62 57
102,2000,ATP Masters Series Miami,"Miami, FL, U.S.A.",2000.03.20 - 2000.04.02,Outdoor,Hard,53,Mariano Zabaleta,L,46 67(7) 
103,2000,ATP Masters Series Miami,"Miami, FL, U.S.A.",2000.03.20 - 2000.04.02,Outdoor,Hard,53,Justin Gimelstob,W,75 63
104,2000,Copenhagen,"Copenhagen, Denmark",2000.02.28 - 2000.03.05,Indoor,Hard,58,Magnus Larsson,L,36 67(6) 
105,2000,Copenhagen,"Copenhagen, Denmark",2000.02.28 - 2000.03.05,Indoor,Hard,58,Gianluca Pozzi,W,46 61 63
106,2000,Copenhagen,"Copenhagen, Denmark",2000.02.28 - 2000.03.05,Indoor,Hard,58,Fredrik Jonsson,W,64 64
107,2000,Copenhagen,"Copenhagen, Denmark",2000.02.28 - 2000.03.05,Indoor,Hard,58,Filip Dewulf,W,64 46 63
108,2000,London,"London, England",2000.02.21 - 2000.02.27,Indoor,Hard,66,Marc Rosset,L,63 46 46
109,2000,London,"London, England",2000.02.21 - 2000.02.27,Indoor,Hard,66,Goran Ivanisevic,W,75 63
110,2000,London,"London, England",2000.02.21 - 2000.02.27,Indoor,Hard,66,Nicolas Kiefer,W,62 63
111,2000,Marseille,"Marseille, France",2000.02.07 - 2000.02.13,Indoor,Hard,67,Marc Rosset,L,62 36 67(5) 
112,2000,Marseille,"Marseille, France",2000.02.07 - 2000.02.13,Indoor,Hard,67,Fabrice Santoro,W,76(4) 75
113,2000,Marseille,"Marseille, France",2000.02.07 - 2000.02.13,Indoor,Hard,67,Ivan Ljubicic,W,62 36 76(5) 
114,2000,Marseille,"Marseille, France",2000.02.07 - 2000.02.13,Indoor,Hard,67,Thomas Johansson,W,63 62
115,2000,Marseille,"Marseille, France",2000.02.07 - 2000.02.13,Indoor,Hard,67,Antony Dupuis,W,64 64
116,2000,AUS V SUI 1RD,"Zurich, Switzerland",2000.01.31 - 2000.02.06,Indoor,Carpet,61,Lleyton Hewitt,L,26 63 67(2) 16
117,2000,AUS V SUI 1RD,"Zurich, Switzerland",2000.01.31 - 2000.02.06,Indoor,Carpet,61,Mark Philippoussis,W,64 76(3) 46 64
118,2000,Australian Open,"Melbourne, Australia",2000.01.17 - 2000.01.30,Outdoor,Hard,62,Arnaud Clement,L,16 46 36
119,2000,Australian Open,"Melbourne, Australia",2000.01.17 - 2000.01.30,Outdoor,Hard,62,Jan Kroslak,W,76(1) 62 63
120,2000,Australian Open,"Melbourne, Australia",2000.01.17 - 2000.01.30,Outdoor,Hard,62,Michael Chang,W,64 64 76(5) 
121,2000,Auckland,"Auckland, New Zealand",2000.01.10 - 2000.01.16,Outdoor,Hard,61,Juan Carlos Ferrero,L,46 46
122,2000,Adelaide,"Adelaide, Australia",2000.01.03 - 2000.01.09,Outdoor,Hard,0,Thomas Enqvist,L,67(5) 46
123,2000,Adelaide,"Adelaide, Australia",2000.01.03 - 2000.01.09,Outdoor,Hard,0,Jens Knippschild,W,61 64
124,2001,ATP World Tour Masters 1000 Paris,"Paris, France",2001.10.29 - 2001.11.04,Indoor,Hard,13,Jiri Novak,L,46 76(4) 67(2) 
125,2001,Basel,"Basel, Switzerland",2001.10.22 - 2001.10.28,Indoor,Carpet,13,Tim Henman,L,36 46 26
126,2001,Basel,"Basel, Switzerland",2001.10.22 - 2001.10.28,Indoor,Carpet,13,Julien Boutter,W,76(3) 64
127,2001,Basel,"Basel, Switzerland",2001.10.22 - 2001.10.28,Indoor,Carpet,13,Andy Roddick,W,36 63 76(5) 
128,2001,Basel,"Basel, Switzerland",2001.10.22 - 2001.10.28,Indoor,Carpet,13,Xavier Malisse,W,63 64
129,2001,Basel,"Basel, Switzerland",2001.10.22 - 2001.10.28,Indoor,Carpet,13,Albert Costa,W,63 63
130,2001,ATP Masters Series Stuttgart,"Stuttgart, Germany",2001.10.15 - 2001.10.21,Indoor,Hard,12,Wayne Ferreira,L,67(1) 63 26
131,2001,Vienna,"Vienna, Austria",2001.10.08 - 2001.10.14,Indoor,Hard,12,Stefan Koubek,L,67(3) 57
132,2001,Vienna,"Vienna, Austria",2001.10.08 - 2001.10.14,Indoor,Hard,12,Albert Costa,W,76(1) 62
133,2001,Vienna,"Vienna, Austria",2001.10.08 - 2001.10.14,Indoor,Hard,12,Nicolas Massu,W,46 76(8) 64
